"['蔡甸', '蔡甸城区']",红光精品花园,88,8649,"['3室2厅1卫', '低楼层 (共13层)', '101.75㎡', '暂无数据', '板楼', '南 北', '钢混结构', '其他', '一梯四户', '有']"
"['武昌', '老南湖']",中央花园锦鹃谷,450,17582,"['4室3厅2卫', '高楼层 (共6层)', '255.95㎡', '暂无数据', '234.15㎡', '板楼', '南 北', '钢混结构', '其他', '一梯两户']"
"['江汉', '长港路']",学林华府,100,22947,"['1室1厅1卫', '中楼层 (共17层)', '43.58㎡', '平层', '板楼', '南', '钢混结构', '其他', '两梯五户', '有']"
"['新洲', '阳逻']",香榭花都四期君域,118,9507,"['3室2厅2卫', '中楼层 (共32层)', '124.12㎡', '暂无数据', '板楼', '南', '钢混结构', '其他', '一梯三户']"
"['武昌', '中南丁字桥']",滨湖名邸二期,300,28575,"['3室2厅2卫', '中楼层 (共30层)', '104.99㎡', '平层', '板楼', '南 北', '钢混结构', '其他', '两梯四户', '有']"
"['硚口', '长丰常码头']",天顺园一村,85,12078,"['2室1厅1卫', '高楼层 (共6层)', '70.38㎡', '平层', '板楼', '南', '混合结构', '其他', '一梯四户']"
"['武昌', '东湖东亭']",楚天都市雅园,240,29799,"['2室1厅1卫', '低楼层 (共40层)', '80.54㎡', '暂无数据', '板塔结合', '南 北', '钢混结构', '其他', '两梯五户', '有']"
"['硚口', '古田']",汉水熙园,506,21970,"['4室3厅2卫', '高楼层 (共14层)', '230.32㎡', '暂无数据', '塔楼', '南 北', '钢混结构', '其他', '两梯四户', '有']"
"['汉阳', '四新']",绿地中央广场,140,16622,"['2室2厅1卫', '低楼层 (共34层)', '84.23㎡', '平层', '61.15㎡', '板楼', '南 北', '钢混结构', '其他', '两梯四户', '有']"
"['新洲', '阳逻']",阳逻机场路花园,38,4113,"['2室2厅1卫', '高楼层 (共6层)', '92.4㎡', '平层', '板楼', '东南 南', '砖混结构', '其他', '一梯两户']"
"['东西湖', '金银湖']",熙龙湾,155,13212,"['3室2厅2卫', '中楼层 (共18层)', '117.32㎡', '平层', '板楼', '北 南', '钢混结构', '其他', '两梯四户', '有']"
